user_played,instrument_name,velocity,pitch,start (s),end (s)
False,flute,80,78,0.0,1.1416647638888888
False,flute,80,71,1.142855238095238,1.4273785734126982
False,flute,80,73,1.4285690476190473,1.7130923829365077
True,flute,80,74,1.7142828571428568,1.998806192460317
False,flute,80,76,1.9999966666666662,2.2845200019841263
False,flute,80,78,2.2857104761904754,3.141661430555555
True,flute,80,74,3.142851904761904,3.427375240079364
True,flute,80,78,3.428565714285713,4.2845166686507925
True,flute,80,74,4.285707142857142,4.555944787698412
True,flute,80,78,4.571420952380952,5.38451483531746
False,flute,80,71,5.42856238095238,5.71308571626984
False,flute,80,74,5.714276190476189,5.9987995257936495
True,flute,80,71,5.999989999999999,6.284513335317459
True,flute,80,66,6.285703809523808,6.570227144841268
False,flute,80,74,6.571417619047617,6.855940954365077
False,flute,80,71,6.857131428571426,7.998796192460315
False,flute,80,76,8.285700476190474,8.555938121031744
False,flute,80,74,8.571414285714283,8.841651930555553
True,flute,80,73,8.857128095238092,9.127365740079362
True,flute,80,78,9.142841904761902,10.227363906746028
True,flute,80,71,10.285697142857138,10.555934787698408
False,flute,80,73,10.571410952380948,10.841648597222218
True,flute,80,74,10.857124761904757,11.127362406746027
True,flute,80,76,11.142838571428566,11.413076216269836
False,flute,80,78,11.428552380952375,12.241646263888883
False,flute,80,74,12.285693809523805,12.555931454365075
True,flute,80,78,12.571407619047614,13.384501501984122
False,flute,80,74,13.428549047619043,13.698786692460313
False,flute,80,78,13.714262857142852,14.52735674007936
False,flute,80,71,14.571404285714282,14.841641930555552
True,flute,80,74,14.857118095238091,15.127355740079361
False,flute,80,71,15.1428319047619,15.41306954960317
True,flute,80,66,15.42854571428571,15.69878335912698
False,flute,80,74,15.714259523809519,15.984497168650789
False,flute,80,71,15.999973333333328,16.541639097222216
True,flute,80,71,17.714256190476185,18.255921954365075
False,flute,64,73,18.285683809523803,18.827349573412697
False,flute,68,74,18.857111428571425,19.39877719246032
True,flute,72,76,19.428539047619047,19.97020481150794
True,flute,76,78,19.99996666666667,20.27020431150794
False,flute,78,79,20.28568047619048,20.55591812103175
True,flute,80,81,20.571394285714288,21.384488168650805
False,flute,86,79,21.428535714285726,21.698773359126996
False,flute,88,78,21.714249523809535,22.25591528769843
True,flute,92,79,22.285677142857157,22.555914787698427
False,flute,94,81,22.571390952380966,22.841628597222236
True,flute,96,83,22.857104761904775,23.670198644841292
True,flute,102,81,23.714246190476214,23.984483835317484
True,flute,104,79,23.999960000000023,24.541625763888916
True,flute,108,81,24.571387619047645,24.841625263888915
True,flute,110,83,24.857101428571454,25.127339073412724
False,flute,112,85,25.142815238095263,25.95590912103175
True,flute,89,83,25.99995666666667,26.270194311507932
False,flute,81,78,26.28567047619047,26.555908121031734
True,flute,73,74,26.571384285714277,26.84162193055554
False,flute,65,73,26.85709809523808,27.127335740079342
False,flute,57,71,27.14281190476188,27.413049549603144
False,flute,49,73,27.428525714285684,27.970191478174574
True,flute,52,74,27.999953333333302,28.541619097222192
False,flute,56,76,28.57138095238092,29.113046716269807
False,flute,60,78,29.142808571428535,29.413046216269805
False,flute,62,79,29.428522380952344,29.698760025793614
False,flute,64,81,29.714236190476154,30.527330073412664
True,flute,70,79,30.571377619047585,30.84161526388885
True,flute,72,78,30.85709142857139,31.398757192460277
